total_bill;tip;sex;smoker;day;time;size
11,35;2,50;Female;Yes;Fri;Dinner;2
15,38;3,00;Female;Yes;Fri;Dinner;2
44,30;2,50;Female;Yes;Sat;Dinner;3
22,42;3,48;Female;Yes;Sat;Dinner;2
20,92;4,08;Female;No;Sat;Dinner;2
15,36;1,64;Male;Yes;Sat;Dinner;2
20,49;4,06;Male;Yes;Sat;Dinner;2
25,21;4,29;Male;Yes;Sat;Dinner;2
18,24;3,76;Male;No;Sat;Dinner;2
14,31;4,00;Female;Yes;Sat;Dinner;2
14,00;3,00;Male;No;Sat;Dinner;2
7,25;1,00;Female;No;Sat;Dinner;1
38,07;4,00;Male;No;Sun;Dinner;3
23,95;2,55;Male;No;Sun;Dinner;2
25,71;4,00;Female;No;Sun;Dinner;3
17,31;3,50;Female;No;Sun;Dinner;2
29,93;5,07;Male;No;Sun;Dinner;4
10,65;1,50;Female;No;Thur;Lunch;2
12,43;1,80;Female;No;Thur;Lunch;2
24,08;2,92;Female;No;Thur;Lunch;4
11,69;2,31;Male;No;Thur;Lunch;2
13,42;1,68;Female;No;Thur;Lunch;2
14,26;2,50;Male;No;Thur;Lunch;2
15,95;2,00;Male;No;Thur;Lunch;2
12,48;2,52;Female;No;Thur;Lunch;2
29,80;4,20;Female;No;Thur;Lunch;6
8,52;1,48;Male;No;Thur;Lunch;2
14,52;2,00;Female;No;Thur;Lunch;2
11,38;2,00;Female;No;Thur;Lunch;2
22,82;2,18;Male;No;Thur;Lunch;3
19,08;1,50;Male;No;Thur;Lunch;2
20,27;2,83;Female;No;Thur;Lunch;2
11,17;1,50;Female;No;Thur;Lunch;2
12,26;2,00;Female;No;Thur;Lunch;2
18,26;3,25;Female;No;Thur;Lunch;2
8,51;1,25;Female;No;Thur;Lunch;2
10,33;2,00;Female;No;Thur;Lunch;2
14,15;2,00;Female;No;Thur;Lunch;2
16,00;2,00;Male;Yes;Thur;Lunch;2
13,16;2,75;Female;No;Thur;Lunch;2
17,47;3,50;Female;No;Thur;Lunch;2
34,30;6,70;Male;No;Thur;Lunch;6
41,19;5,00;Male;No;Thur;Lunch;5
27,05;5,00;Female;No;Thur;Lunch;6
16,43;2,30;Female;No;Thur;Lunch;2
8,35;1,50;Female;No;Thur;Lunch;2
18,64;1,36;Female;No;Thur;Lunch;3
11,87;1,63;Female;No;Thur;Lunch;2
9,78;1,73;Male;No;Thur;Lunch;2
7,51;2,00;Male;No;Thur;Lunch;2
14,07;2,50;Male;No;Sun;Dinner;2
13,13;2,00;Male;No;Sun;Dinner;2
17,26;2,74;Male;No;Sun;Dinner;3
24,55;2,00;Male;No;Sun;Dinner;4
19,77;2,00;Male;No;Sun;Dinner;4
29,85;5,14;Female;No;Sun;Dinner;5
48,17;5,00;Male;No;Sun;Dinner;6
25,00;3,75;Female;No;Sun;Dinner;4
13,39;2,61;Female;No;Sun;Dinner;2
16,49;2,00;Male;No;Sun;Dinner;4
21,50;3,50;Male;No;Sun;Dinner;4
12,66;2,50;Male;No;Sun;Dinner;2
16,21;2,00;Female;No;Sun;Dinner;3
13,81;2,00;Male;No;Sun;Dinner;2
17,51;3,00;Female;Yes;Sun;Dinner;2
24,52;3,48;Male;No;Sun;Dinner;3
20,76;2,24;Male;No;Sun;Dinner;2
31,71;4,50;Male;No;Sun;Dinner;4
10,59;1,61;Female;Yes;Sat;Dinner;2
10,63;2,00;Female;Yes;Sat;Dinner;2
50,81;10,00;Male;Yes;Sat;Dinner;3
15,81;3,16;Male;Yes;Sat;Dinner;2
7,25;5,15;Male;Yes;Sun;Dinner;2
31,85;3,18;Male;Yes;Sun;Dinner;2
16,82;4,00;Male;Yes;Sun;Dinner;2
32,90;3,11;Male;Yes;Sun;Dinner;2
17,89;2,00;Male;Yes;Sun;Dinner;2
14,48;2,00;Male;Yes;Sun;Dinner;2
9,60;4,00;Female;Yes;Sun;Dinner;2
34,63;3,55;Male;Yes;Sun;Dinner;2
34,65;3,68;Male;Yes;Sun;Dinner;4
23,33;5,65;Male;Yes;Sun;Dinner;2
45,35;3,50;Male;Yes;Sun;Dinner;3
23,17;6,50;Male;Yes;Sun;Dinner;4
40,55;3,00;Male;Yes;Sun;Dinner;2
20,69;5,00;Male;No;Sun;Dinner;5
20,90;3,50;Female;Yes;Sun;Dinner;3
30,46;2,00;Male;Yes;Sun;Dinner;5
18,15;3,50;Female;Yes;Sun;Dinner;3
23,10;4,00;Male;Yes;Sun;Dinner;3
15,69;1,50;Male;Yes;Sun;Dinner;2
19,81;4,19;Female;Yes;Thur;Lunch;2
28,44;2,56;Male;Yes;Thur;Lunch;2
15,48;2,02;Male;Yes;Thur;Lunch;2
16,58;4,00;Male;Yes;Thur;Lunch;2
7,56;1,44;Male;No;Thur;Lunch;2
10,34;2,00;Male;Yes;Thur;Lunch;2
43,11;5,00;Female;Yes;Thur;Lunch;4
13,00;2,00;Female;Yes;Thur;Lunch;2
13,51;2,00;Male;Yes;Thur;Lunch;2
18,71;4,00;Male;Yes;Thur;Lunch;3
12,74;2,01;Female;Yes;Thur;Lunch;2
13,00;2,00;Female;Yes;Thur;Lunch;2
16,40;2,50;Female;Yes;Thur;Lunch;2
20,53;4,00;Male;Yes;Thur;Lunch;4
16,47;3,23;Female;Yes;Thur;Lunch;3
26,59;3,41;Male;Yes;Sat;Dinner;3
38,73;3,00;Male;Yes;Sat;Dinner;4
24,27;2,03;Male;Yes;Sat;Dinner;2
12,76;2,23;Female;Yes;Sat;Dinner;2
30,06;2,00;Male;Yes;Sat;Dinner;3
25,89;5,16;Male;Yes;Sat;Dinner;4
48,33;9,00;Male;No;Sat;Dinner;4
13,27;2,50;Female;Yes;Sat;Dinner;2
28,17;6,50;Female;Yes;Sat;Dinner;3
12,90;1,10;Female;Yes;Sat;Dinner;2
28,15;3,00;Male;Yes;Sat;Dinner;5
11,59;1,50;Male;Yes;Sat;Dinner;2
7,74;1,44;Male;Yes;Sat;Dinner;2
30,14;3,09;Female;Yes;Sat;Dinner;4
12,16;2,20;Male;Yes;Fri;Lunch;2
13,42;3,48;Female;Yes;Fri;Lunch;2
8,58;1,92;Male;Yes;Fri;Lunch;1
15,98;3,00;Female;No;Fri;Lunch;3
13,42;1,58;Male;Yes;Fri;Lunch;2
16,27;2,50;Female;Yes;Fri;Lunch;2
10,09;2,00;Female;Yes;Fri;Lunch;2
20,45;3,00;Male;No;Sat;Dinner;4
13,28;2,72;Male;No;Sat;Dinner;2
22,12;2,88;Female;Yes;Sat;Dinner;2
24,01;2,00;Male;Yes;Sat;Dinner;4
15,69;3,00;Male;Yes;Sat;Dinner;3
11,61;3,39;Male;No;Sat;Dinner;2
10,77;1,47;Male;No;Sat;Dinner;2
15,53;3,00;Male;Yes;Sat;Dinner;2
10,07;1,25;Male;No;Sat;Dinner;2
12,60;1,00;Male;Yes;Sat;Dinner;2
32,83;1,17;Male;Yes;Sat;Dinner;2
35,83;4,67;Female;No;Sat;Dinner;3
29,03;5,92;Male;No;Sat;Dinner;3
27,18;2,00;Female;Yes;Sat;Dinner;2
22,67;2,00;Male;Yes;Sat;Dinner;2
17,82;1,75;Male;No;Sat;Dinner;2
18,78;3,00;Female;No;Thur;Dinner;2
