id;descripcion;precio
172;Wine - Red, Cabernet Sauvignon;5,91
173;Napkin - Beverage 1 Ply;9,01
174;Grapefruit - White;9,09
175;Ocean Spray - Kiwi Strawberry;1,57
176;Cheese - Shred Cheddar / Mozza;6,6
177;Wine - Tio Pepe Sherry Fino;4,86
178;Squid - Breaded;8,84
179;Cleaner - Pine Sol;2,19
180;Mustard - Pommery;5,18
181;Chicken - Leg / Back Attach;3,23
182;Veal - Chops, Split, Frenched;4,51
183;Mushroom - Lg - Cello;3,04
184;Bagel - Ched Chs Presliced;0,16
185;Beef - Chuck, Boneless;1,38
186;Trueblue - Blueberry 12x473ml;9,06
187;Transfer Sheets;5,53
188;Salmon - Sockeye Raw;7,98
189;Muffin Batt - Choc Chk;3,48
190;Beer - Corona;4,76
191;Creme De Banane - Marie;9,33
192;Sauce - Cranberry;6,52
193;Muffin Batt - Choc Chk;0,39
194;Ice Cream - Super Sandwich;9,59
195;Quail - Whole, Bone - In;0,8
196;Tahini Paste;5,94
197;Milkettes - 2%;8,79
198;Beans - Kidney, Canned;4,47
199;Knife Plastic - White;1,17
200;Juice - Apple, 341 Ml;8,44
201;Quail - Eggs, Fresh;7,9
202;Pepper - Red Chili;2,45
203;Mix - Cocktail Ice Cream;6,98
204;Cocoa Butter;7,27
205;Juice - Apple, 500 Ml;7,85
206;Wine - Red, Antinori Santa;2,7
207;Beef - Ground, Extra Lean, Fresh;1,66
208;Onions - Cooking;4,86
209;Chestnuts - Whole,canned;2,63
210;Tea - Jasmin Green;8,55
211;Cream - 18%;0,91
212;Carbonated Water - Blackberry;0,52
213;Blueberries - Frozen;6,77
214;Blue Curacao - Marie Brizard;5,54
215;Pastry - Banana Tea Loaf;4,87
216;Garam Masala Powder;7,7
217;Contreau;0,28
218;Wine - Delicato Merlot;8,16
219;Ice Cream Bar - Hagen Daz;4,24
220;Schnappes Peppermint - Walker;3,74
221;Walkers Special Old Whiskey;8,21
222;Compound - Orange;1,15
223;Ginger - Ground;6,51
224;Wine - German Riesling;7,32
225;Crush - Orange, 355ml;7,23
226;Sauce - Salsa;1,58
227;Juice - Orangina;5,07
228;Wine - Magnotta, Merlot Sr Vqa;4,05
229;Lamb - Whole Head Off;3,44
230;Ginger - Ground;9,36
231;Iced Tea - Lemon, 460 Ml;2,17
232;Butter - Salted;6,8
233;Cumin - Ground;2,76
234;Soup - Campbells, Spinach Crm;1,81
235;Wine - Magnotta, Merlot Sr Vqa;1,23
236;Butter Sweet;2,14
237;Curry Paste - Madras;5,02
238;Flour - Buckwheat, Dark;2
239;Apple - Granny Smith;0,35
240;Spoon - Soup, Plastic;5,77
241;Tortillas - Flour, 10;8,02
242;Shrimp, Dried, Small / Lb;8,16
243;Beef - Inside Round;0,66
244;Savory;2,37
245;General Purpose Trigger;0,91
246;Mustard Prepared;0,26
247;Squid - Breaded;9,22
248;Pear - Packum;2,19
249;Turkey - Breast, Double;2,52
250;Chutney Sauce;7,81
251;Lid - 0090 Clear;9,1
252;Flour - Strong;4,61
253;Plasticknivesblack;8,05
254;Cakes Assorted;2,64
255;Bread - Italian Sesame Poly;6,84
256;Glass Clear 7 Oz Xl;7,91
257;Island Oasis - Wildberry;3,61
258;Green Scrubbie Pad H.duty;7,15
259;Wine - Semi Dry Riesling Vineland;4,38
260;Cloves - Ground;2,71
261;Salt - Kosher;3,04
262;Curry Paste - Madras;9,36
263;Propel Sport Drink;9,35
264;Drambuie;2,14
265;Yogurt - Peach, 175 Gr;7,15
266;Lobster - Cooked;1,36
267;Shrimp, Dried, Small / Lb;5,94
268;Sauce - Oyster;7,89
269;Tea Peppermint;7,84
270;Lettuce - Red Leaf;2,33
271;Kellogs All Bran Bars;7,71
272;Appetiser - Bought;3,03
273;Beef - Inside Round;5,29
274;Tomatoes - Heirloom;1,96
275;Strawberries;2,68
276;Juice - Pineapple, 48 Oz;2,48
277;Sobe - Green Tea;5,49
278;Sauce - Fish 25 Ozf Bottle;6,98
279;Turnip - Wax;0,31
280;Lid Coffeecup 12oz D9542b;7,88
281;Wine - Magnotta, White;5,88
282;Coffee Caramel Biscotti;2,84
283;Asparagus - Frozen;6,98
284;Veal - Knuckle;0,73
285;Lid Coffee Cup 8oz Blk;0,47
286;Chicken Thigh - Bone Out;0,19
287;Mayonnaise;1,14
288;Squid Ink;3,77
289;Trueblue - Blueberry 12x473ml;7,53
290;Sole - Dover, Whole, Fresh;4,71
291;Bacardi Limon;5,7
292;Lamb - Leg, Boneless;3,21
293;Pea - Snow;1,62
294;Cheese - Bakers Cream Cheese;2,11
295;Shrimp - 16/20, Iqf, Shell On;8,53
296;Coconut Milk - Unsweetened;9,56
297;Wine - Alicanca Vinho Verde;3,25
298;Cookie - Dough Variety;7,76
299;Bread Crumbs - Japanese Style;6,06
300;Cup - 3.5oz, Foam;4,72
301;Kaffir Lime Leaves;2,8
302;Clam Nectar;4,24
303;Danishes - Mini Cheese;7,28
304;Chicken - Base;3,02
305;Cumin - Ground;1,37
306;Lemon Tarts;5,72
307;Tuna - Bluefin;2,14
308;Wine - Red, Cooking;0,64
309;Cheese - Mozzarella, Shredded;6,61
310;Wine - Chateau Timberlay;5,61
311;Vacuum Bags 12x16;6,22
312;Mix - Cocktail Ice Cream;8,63
313;Veal - Insides Provini;5,76
314;Mousse - Passion Fruit;0,07
315;Tomato Puree;7,35
316;Schnappes - Peach, Walkers;2,29
317;Bread - Sticks, Thin, Plain;6,71
318;Cup Translucent 9 Oz;8,58
319;Fireball Whisky;3,14
320;Ginger - Ground;3,64
321;Sprouts - Onion;6,97
322;Alize Gold Passion;6,1
323;Lamb - Pieces, Diced;9,89
324;Wine - Chablis J Moreau Et Fils;4,25
325;Plate Foam Laminated 9in Blk;5,92
326;Juice - Pineapple, 341 Ml;1,65
327;Sauce - Soya, Dark;1,5
328;Sugar - Crumb;8,83
329;Milk - Chocolate 250 Ml;0,09
330;Whmis - Spray Bottle Trigger;0,69
331;Wine - Cousino Macul Antiguas;0,3
332;Melon - Watermelon, Seedless;7,29
333;Cheese - Victor Et Berthold;1,71
334;Tomato Paste;6,13
335;Wine - Two Oceans Cabernet;6,52
336;Vinegar - Balsamic, White;3
337;Cheese Cloth;0,54
338;Sage - Rubbed;2,65
339;Bagels Poppyseed;2,58
340;Melon - Honey Dew;3,81
341;Mustard - Pommery;1,21
342;Pepper - Chilli Seeds Mild;0,13
343;Steamers White;2,71
344;Shrimp - 21/25, Peel And Deviened;9,38
345;Snapple Raspberry Tea;6,06
346;Lobak;3,79
347;Mayonnaise;6,25
348;Maple Syrup;7,43
349;Beans - Black Bean, Dry;9,51
350;Halibut - Steaks;9,13
351;Syrup - Monin - Passion Fruit;5,44
352;Dr. Pepper - 355ml;2,53
353;Soup - Campbells, Creamy;2,6
354;Clam - Cherrystone;7,17
355;Vector Energy Bar;7,13
356;Sauce Tomato Pouch;0,69
357;Broccoli - Fresh;1,15
358;Bread - Bistro White;1,48
359;Mustard - Individual Pkg;5,88
360;Black Currants;3,92
361;Meldea Green Tea Liquor;7,15
362;Lambcasing;8,49
363;Beer - Corona;2,38
364;Wine - Lamancha Do Crianza;8,45
365;Flax Seed;6,73
366;Turkey Leg With Drum And Thigh;1,94
367;Wine - George Duboeuf Rose;7,86
368;Mushroom - Morels, Dry;8,88
369;Eel - Smoked;6,41
370;Beef - Short Loin;4,86
371;Wine - Cava Aria Estate Brut;6,86
372;Cookies - Amaretto;8,89
373;Wine - Chateauneuf Du Pape;2,67
374;Sauce - White, Mix;6,74
375;Chinese Foods - Plain Fried Rice;6,5
376;Tea - Apple Green Tea;0,88
377;Cheese - Pied De Vents;7,27
378;Island Oasis - Lemonade;4,37
379;Chocolate - Unsweetened;1,28
380;Wine - Cave Springs Dry Riesling;3,42
381;Cup - Paper 10oz 92959;0,54
382;Olives - Green, Pitted;7,44
383;Apple - Delicious, Golden;4,6
384;Steampan - Foil;5,67
385;Okra;5,35
386;Carrots - Mini Red Organic;7,39
387;Island Oasis - Peach Daiquiri;1,07
388;Wine - Coteaux Du Tricastin Ac;6,85
389;Munchies Honey Sweet Trail Mix;9,37
390;Beans - Kidney, Red Dry;6,61
391;Beans - Black Bean, Preserved;4,32
392;Cup - 6oz, Foam;1,75
393;Foam Espresso Cup Plain White;2,82
394;Plasticspoonblack;1,61
395;Bread - Sour Sticks With Onion;7,69
396;Pan Grease;4,03
397;Sage - Ground;9,29
398;Wine - Black Tower Qr;4,8
399;Chevere Logs;2,88
400;Cookies Cereal Nut;7,37
401;Veal - Liver;6,12
402;Wine - Red, Gallo, Merlot;1,77
403;Melon - Honey Dew;1,17
404;Soup - Knorr, Classic Can. Chili;7,21
405;Ecolab - Hand Soap Form Antibac;9,1
406;Tahini Paste;5,8
407;Muffin Puck Ww Carrot;5,53
408;Pepper - Chilli Seeds Mild;9,37
409;Pork - Back, Long Cut, Boneless;9,36
410;Beef Wellington;5,33
411;Celery Root;6,52
412;Plate Pie Foil;2,82
413;Spring Roll Wrappers;3,16
414;Nantuket Peach Orange;3,56
415;Lettuce - Escarole;8,53
416;Smoked Tongue;7,77
417;Tomato Paste;5,14
418;Tia Maria;1,68
419;Nut - Pecan, Halves;9,7
420;Bread - Burger;2,79
421;Soup - Beef Conomme, Dry;0,86
422;Truffle Cups - Brown;1,58
423;Kellogs Cereal In A Cup;6,03
424;Muffin - Bran Ind Wrpd;1,42
425;Zucchini - Yellow;9,61
426;Butter Ripple - Phillips;8,52
427;Wine - Sicilia Igt Nero Avola;1,73
428;Quiche Assorted;6
429;Iced Tea Concentrate;8,83
430;Straw - Regular;5,37
431;Hummus - Spread;4,51
432;Apple - Fuji;8,02
433;Water - Spring Water 500ml;6,18
434;Alize Sunset;1,33
435;Dill Weed - Fresh;7,69
436;Wine - Two Oceans Cabernet;5,02
437;Pork - Chop, Frenched;6,55
438;Wine - Riesling Dr. Pauly;1,07
439;Nut - Pine Nuts, Whole;3,65
440;Higashimaru Usukuchi Soy;6,36
441;Oil - Coconut;6,1
442;Lentils - Green Le Puy;3,42
443;Beer - True North Lager;1,22
444;Wine - Red, Mosaic Zweigelt;1,02
445;Wine - Chianti Classica Docg;1,29
446;Coffee Cup 16oz Foam;2,47
447;Plastic Arrow Stir Stick;7,4
448;Butter Balls Salted;9,28
449;Kolrabi;6,98
450;Fish - Scallops, Cold Smoked;2,25
451;Tuna - Loin;9,22
452;Muskox - French Rack;7,5
453;Mushroom - King Eryingii;4,24
454;Lettuce - Treviso;0,5
455;Roe - Lump Fish, Red;9,58
456;Raisin - Dark;4,23
457;Red Snapper - Fresh, Whole;4,84
458;Ice Cream - Super Sandwich;6,34
459;Soup - French Can Pea;0,55
460;Beer - Creemore;0,01
461;Cookies - Fortune;8,2
462;Pork - Back, Long Cut, Boneless;6,55
463;Nut - Macadamia;1,66
464;Juice - Apple, 1.36l;7,96
465;Beans - Yellow;1,01
466;Bread Base - Italian;9,74
467;Veal - Osso Bucco;0,59
468;Pop Shoppe Cream Soda;4,19
469;Bread - Rosemary Focaccia;6,1
470;Cookie Dough - Chocolate Chip;1,95
471;Seedlings - Mix, Organic;7,54
472;Pork - Kidney;4,68
473;Sauce - Roasted Red Pepper;8,63
474;Calaloo;2,23
475;Appetizer - Shrimp Puff;9,92
476;Flour - Semolina;9,3
477;Halibut - Fletches;9,39
478;Tomatoes - Diced, Canned;9,93
479;Pork - Back, Long Cut, Boneless;2,59
480;Bread - Calabrese Baguette;2,45
481;Tea - Lemon Scented;4,6
482;Wine - Sawmill Creek Autumn;2,55
483;Rum - Light, Captain Morgan;0,84
484;Wine - Sake;8,09
485;Wine - Cousino Macul Antiguas;3,45
486;Muffin - Carrot Individual Wrap;5,59
487;Cheese - Cambozola;3,84
488;Vinegar - Tarragon;7,76
489;Gatorade - Fruit Punch;7,92
490;Mushroom - Porcini Frozen;6,34
491;Yukon Jack;1,92
492;Potatoes - Instant, Mashed;3,54
493;Cheese - Valancey;4,77
494;Oil - Canola;0,06
495;Shiro Miso;7,6
496;Pasta - Spaghetti, Dry;3,36
497;Apples - Sliced / Wedge;5,81
498;Tea - Grapefruit Green Tea;9,6
499;Juice - Prune;6,66
500;Sauce - Oyster;4,05
501;Beer - Creemore;7
502;Appetizer - Mango Chevre;1,73
503;Mushroom - Shitake, Fresh;4,51
504;Garlic - Peeled;4
505;Carbonated Water - Blackcherry;4,89
506;Cassis;7,05
507;Sprouts - China Rose;8,95
508;Soup Campbells - Tomato Bisque;6,18
509;Beef - Tenderloin - Aa;3,61
510;Shrimp, Dried, Small / Lb;2,31
511;Aromat Spice / Seasoning;6,43
512;Wine - Red, Lurton Merlot De;6,5
513;Glycerine;0,97
514;Veal - Bones;3,35
515;Pork - European Side Bacon;0,56
516;Seabream Whole Farmed;7,48
517;Bread - 10 Grain;2,5
518;Mustard - Dry, Powder;7,52
519;Duck - Breast;5,43
520;Longos - Cheese Tortellini;8,38
521;Island Oasis - Lemonade;0,87
522;Wasabi Powder;5,17
523;Munchies Honey Sweet Trail Mix;7,26
524;Pail With Metal Handle 16l White;2,44
525;Pate - Liver;8,64
526;Olives - Kalamata;0,1
527;Sugar - Icing;0,85
528;Crush - Orange, 355ml;2,69
529;Mortadella;8,18
530;Ranchero - Primerba, Paste;7,84
531;Basil - Fresh;4,23
532;Eggroll;9,71
533;Icecream Bar - Del Monte;5,63
534;Stock - Beef, Brown;9,37
535;Cheese - St. Andre;6,37
536;Rice Paper;9,7
537;Shrimp - Tiger 21/25;6,9
538;Pastry - Butterscotch Baked;1,95
539;Salmon - Smoked, Sliced;7,04
540;Steampan - Lid For Half Size;1,39
541;Pate - Liver;4,39
542;Sausage - Breakfast;7,24
543;Eggplant - Baby;8,3
544;Energy Drink - Franks Original;4,28
545;Chocolate - Dark Callets;0,57
546;Beef - Outside, Round;8,1
547;Pork - Belly Fresh;5,06
548;Raisin - Golden;0,08
549;Soup - Knorr, Country Bean;6,08
550;Capon - Whole;9,72
551;Apricots - Halves;0,54
552;Yogurt - Peach, 175 Gr;5,6
553;Danishes - Mini Cheese;2,98
554;Wine - Rosso Del Veronese Igt;8,92
555;Red Pepper Paste;9,6
556;Muffin Mix - Corn Harvest;0,31
557;Kolrabi;4,87
558;Cheese - Cambozola;5,33
559;Cheese - Cheddar, Mild;5,64
560;Peas - Pigeon, Dry;7,04
561;Towel Multifold;7
562;Tea - Herbal I Love Lemon;8,75
563;Tomatillo;1,65
564;Chocolate Bar - Coffee Crisp;3,54
565;Sambuca - Ramazzotti;6,64
566;Cookies Almond Hazelnut;7,69
567;Arizona - Green Tea;2,88
568;Oven Mitts - 15 Inch;4,96
569;Champagne - Brights, Dry;0,46
570;Lettuce Romaine Chopped;6,17
571;Beef - Montreal Smoked Brisket;6,39
572;Cheese - Roquefort Pappillon;3,48
573;Pie Shells 10;1,21
574;Baking Powder;3,23
575;Icecream Cone - Areo Chocolate;8,43
576;Wine - Red, Black Opal Shiraz;7
577;Coconut Milk - Unsweetened;1,5
578;Rappini - Andy Boy;2,91
579;Pea - Snow;0,55
580;Bar Energy Chocchip;5,82
581;Chocolate - Feathers;3,42
582;Wine - Ice Wine;3,41
583;Banana - Green;8,36
584;Pepper Squash;8,55
585;Bag - Clear 7 Lb;9,49
586;White Fish - Filets;5,4
587;Shrimp - Black Tiger 16/20;1,37
588;Fuji Apples;2,55
589;Sprouts Dikon;0,37
590;Icecream - Dibs;1,67
591;Bread - Frozen Basket Variety;9,76
592;Creme De Cacao White;0,6
593;Bread - Sour Sticks With Onion;9,96
594;Paper Cocktail Umberlla 80 - 180;7,89
595;Lettuce - Iceberg;3,5
596;Cheese - Shred Cheddar / Mozza;7,15
597;Crab - Dungeness, Whole;5,69
598;Ginger - Crystalized;2,36
599;Dc Hikiage Hira Huba;9,87
600;Pork - Smoked Back Bacon;4,59
601;Soap - Mr.clean Floor Soap;9,52
602;Mince Meat - Filling;8,6
603;Snails - Large Canned;2,4
604;Ham - Cooked;3,38
605;Beer - Sleemans Cream Ale;4,33
606;Muffin - Mix - Strawberry Rhubarb;6,9
607;Chips - Potato Jalapeno;7,61
608;Wine - Red, Mouton Cadet;2,66
609;Tea - Camomele;5,66
610;Flower - Potmums;4,31
611;Mushroom - White Button;5,9
612;Island Oasis - Ice Cream Mix;5,86
613;Beer - True North Strong Ale;6
614;Wine - Niagara,vqa Reisling;9,79
615;Syrup - Monin, Swiss Choclate;0,27
616;Cheese Cloth No 100;1,76
617;Cod - Black Whole Fillet;1,5
618;Cake - Cheese Cake 9 Inch;5,05
619;Soup - Beef Conomme, Dry;8,72
620;Bread - French Stick;7,25
621;Mackerel Whole Fresh;3,5
622;Soup - Campbells Chili Veg;2,77
623;Juice - Happy Planet;7,43
624;Lemonade - Kiwi, 591 Ml;1,58
625;Shrimp - Black Tiger 8 - 12;8,05
626;Asparagus - White, Fresh;7,38
627;Tuna - Yellowfin;3,17
628;Flour - Fast / Rapid;0,73
629;Milkettes - 2%;6,74
630;Orange Roughy 4/6 Oz;4,46
631;The Pop Shoppe - Lime Rickey;5,07
632;Wine - Montecillo Rioja Crianza;9,69
633;Squash - Pepper;4,79
634;Eggs - Extra Large;9,8
635;Vacuum Bags 12x16;4,45
636;Steampan - Lid For Half Size;9,36
637;Wine - Chateau Bonnet;4,76
638;Compound - Rum;0,92
639;Cheese - Brie, Triple Creme;7,76
640;Soup - Campbells Chili Veg;5,1
641;Wine - White, Mosel Gold;9,32
642;Table Cloth 62x120 White;8,88
643;Soda Water - Club Soda, 355 Ml;5,6
644;Sesame Seed Black;8,44
645;Cheese - Mascarpone;1,77
646;Cheese - Mix;6,27
647;Rambutan;3,13
648;Snapple - Iced Tea Peach;5,55
649;Table Cloth 53x69 White;9,45
650;Mushroom - Chantrelle, Fresh;1,99
651;Bok Choy - Baby;7,88
652;Edible Flower - Mixed;4,12
653;Oven Mitts 17 Inch;6,86
654;Beans - Kidney, Red Dry;2,4
655;Melon - Honey Dew;0,32
656;Coconut - Creamed, Pure;5,3
657;Rum - Cream, Amarula;2,97
658;Water - Green Tea Refresher;8,2
659;Foam Tray S2;9,5
660;Cake - Miini Cheesecake Cherry;1,27
661;Energy Drink - Franks Pineapple;7,16
662;Truffle Cups Green;9,02
663;Lamb - Shoulder;8,51
664;Huck White Towels;3,43
665;Fork - Plastic;4,03
666;Rice - Long Grain;7,33
667;Beef - Bones, Marrow;8,83
668;Veal - Brisket, Provimi,bnls;5,14
669;Beer - Paulaner Hefeweisse;2,18
670;Trueblue - Blueberry 12x473ml;9,64
671;Muffin Chocolate Individual Wrap;6,92
672;Gatorade - Fruit Punch;5,23
673;Fenngreek Seed;2,35
674;Chick Peas - Dried;7,08
675;Venison - Liver;7,84
676;Nantucket - Carrot Orange;3,6
677;Yogurt - Raspberry, 175 Gr;4,59
678;Sesame Seed Black;1,31
679;Doilies - 12, Paper;9,59
680;Soup - Knorr, French Onion;5,41
681;Pork - Bacon, Sliced;5,11
682;Paper Cocktail Umberlla 80 - 180;9,11
683;French Pastry - Mini Chocolate;1,75
684;Wine - Red, Pelee Island Merlot;5,41
685;Veal - Brisket, Provimi,bnls;5,74
686;Bread - White, Sliced;0,62
687;Wheat - Soft Kernal Of Wheat;9,51
688;Glucose;2,82
689;Muffin Orange Individual;9,25
690;Bread - Pumpernickel;6,35
691;Oven Mitts 17 Inch;8,86
692;Bread - Focaccia Quarter;5,29
693;Water - Mineral, Carbonated;5,7
694;Water - Perrier;3,61
695;Cinnamon Rolls;1,02
696;Wine - White, Schroder And Schyl;8,57
697;Sauce - Ranch Dressing;3,54
698;Scallops - In Shell;7,49
699;Horseradish - Prepared;1,61
700;Wine - White, Antinore Orvieto;6,59
701;Soup - Campbells, Chix Gumbo;7,46
702;Muffin Hinge 117n;3,69
703;Crackers - Trio;6,01
704;Cheese - Swiss Sliced;9,82
705;Sausage - Meat;9,99
706;Beef - Baby, Liver;2,98
707;Milkettes - 2%;0,42
708;Soup - French Onion, Dry;3,26
709;Ice Cream - Vanilla;3,03
710;Cookies Almond Hazelnut;7,97
711;Jolt Cola - Electric Blue;0,02
712;Yoghurt Tubes;9,26
713;Chips - Potato Jalapeno;3,4
714;Cheese - Goat With Herbs;9,82
715;Tomatoes - Orange;5,26
716;Knife Plastic - White;2,04
717;Sausage - Meat;9,86
718;Wine - Soave Folonari;5,73
719;Corn - Mini;8,26
720;Bread - Pita;7,19
721;Butcher Twine 4r;7,61
722;Cattail Hearts;9,22
723;Syrup - Monin, Swiss Choclate;4,31
724;Mix - Cocktail Strawberry Daiquiri;3,55
725;Lobster - Tail 6 Oz;3,14
726;Soup - Campbells;3,36
727;Bread Base - Goodhearth;2,02
728;Basil - Thai;8,69
729;Sauce - Hp;4,89
730;Oil - Shortening - All - Purpose;3,57
731;Lemon Grass;6,74
732;Hickory Smoke, Liquid;6,69
733;Lettuce - Boston Bib;7,78
734;Wine - Coteaux Du Tricastin Ac;5,41
735;Brandy Cherry - Mcguinness;3,34
736;Yogurt - Plain;6,2
737;Lemonade - Kiwi, 591 Ml;8,04
738;Pepper - Chillies, Crushed;5,39
739;Tea - Herbal I Love Lemon;0,23
740;Ham Black Forest;7,5
741;Soup - Knorr, Chicken Noodle;0,41
742;Bread - Hamburger Buns;4,3
743;Phyllo Dough;6,13
